Viral_contig	length	Viral_Cluster	habitat	Lat	Lon
REF:Gammaproteobacteria_gi_419079983	13524	1	Gammaproteobacteria_gi_419079983	prophage	prophage
REF:Gammaproteobacteria_gi_545137683	13479	1	Gammaproteobacteria_gi_545137683	prophage	prophage
REF:Gammaproteobacteria_gi_163780580	13470	1	Gammaproteobacteria_gi_163780580	prophage	prophage
REF:Gammaproteobacteria_gi_545137867	13469	1	Gammaproteobacteria_gi_545137867	prophage	prophage
REF:Gammaproteobacteria_gi_445017413	13454	1	Gammaproteobacteria_gi_445017413	prophage	prophage
REF:Gammaproteobacteria_gi_510898152	13336	1	Gammaproteobacteria_gi_510898152	prophage	prophage
REF:Gammaproteobacteria_gi_444941062	13299	1	Gammaproteobacteria_gi_444941062	prophage	prophage
REF:Gammaproteobacteria_gi_419255629	13251	1	Gammaproteobacteria_gi_419255629	prophage	prophage
3300013615_____Ga0117770_10005	13164	1	Host-mammals	0	0
REF:Gammaproteobacteria_gi_419097582	13153	1	Gammaproteobacteria_gi_419097582	prophage	prophage
REF:Gammaproteobacteria_gi_546182889	13147	1	Gammaproteobacteria_gi_546182889	prophage	prophage
REF:Gammaproteobacteria_gi_300941295	13130	1	Gammaproteobacteria_gi_300941295	prophage	prophage
REF:Gammaproteobacteria_gi_445039425	13111	1	Gammaproteobacteria_gi_445039425	prophage	prophage
REF:Gammaproteobacteria_gi_425287905	13009	1	Gammaproteobacteria_gi_425287905	prophage	prophage
3300013938_____Ga0117797_1000173	12983	1	Host-human	0	0
REF:Gammaproteobacteria_gi_487644454	12981	1	Gammaproteobacteria_gi_487644454	prophage	prophage
REF:Gammaproteobacteria_gi_545136647	12970	1	Gammaproteobacteria_gi_545136647	prophage	prophage
2100351010_____DHTCA2_contig00787__length_12957___numreads_14083	12957	1	Engineered-other	43.449776	-80.489086
REF:Gammaproteobacteria_gi_419044669	12925	1	Gammaproteobacteria_gi_419044669	prophage	prophage
REF:Gammaproteobacteria_gi_476538085	12916	1	Gammaproteobacteria_gi_476538085	prophage	prophage
REF:Gammaproteobacteria_gi_545146744	12874	1	Gammaproteobacteria_gi_545146744	prophage	prophage
3300000315_____AmSFosDRAFT_100298	12871	1	Terrestrial-soil	-2.5871	-49.041
3300000315_____AmSFosDRAFT_100275	12870	1	Terrestrial-soil	-2.5871	-49.041
REF:Gammaproteobacteria_gi_545146520	12856	1	Gammaproteobacteria_gi_545146520	prophage	prophage
REF:Gammaproteobacteria_gi_420308934	12831	1	Gammaproteobacteria_gi_420308934	prophage	prophage
REF:Gammaproteobacteria_gi_545143817	12829	1	Gammaproteobacteria_gi_545143817	prophage	prophage
REF:Gammaproteobacteria_gi_416328769-0-12816	12816	1	Gammaproteobacteria_gi_416328769-0-12816	prophage	prophage
REF:Gammaproteobacteria_gi_419085554	12796	1	Gammaproteobacteria_gi_419085554	prophage	prophage
REF:Gammaproteobacteria_gi_444930146	12792	1	Gammaproteobacteria_gi_444930146	prophage	prophage
REF:Gammaproteobacteria_gi_420315603	12769	1	Gammaproteobacteria_gi_420315603	prophage	prophage
3300001680_____KiloMoana_10002264	12742	1	Marine	-20.054108	-176.133522
REF:Gammaproteobacteria_gi_163769720	12499	1	Gammaproteobacteria_gi_163769720	prophage	prophage
REF:Gammaproteobacteria_gi_545143617	12499	1	Gammaproteobacteria_gi_545143617	prophage	prophage
REF:Gammaproteobacteria_gi_420274860	12479	1	Gammaproteobacteria_gi_420274860	prophage	prophage
REF:Gammaproteobacteria_gi_420308506	12425	1	Gammaproteobacteria_gi_420308506	prophage	prophage
REF:Gammaproteobacteria_gi_420309097	12416	1	Gammaproteobacteria_gi_420309097	prophage	prophage
REF:Gammaproteobacteria_gi_545236005	12328	1	Gammaproteobacteria_gi_545236005	prophage	prophage
REF:Gammaproteobacteria_gi_545143388	12290	1	Gammaproteobacteria_gi_545143388	prophage	prophage
REF:Gammaproteobacteria_gi_419314578	12280	1	Gammaproteobacteria_gi_419314578	prophage	prophage
REF:Gammaproteobacteria_gi_419103330	12268	1	Gammaproteobacteria_gi_419103330	prophage	prophage
REF:Gammaproteobacteria_gi_553958285-2225-14477	12227	1	Gammaproteobacteria_gi_553958285-2225-14477	prophage	prophage
REF:Gammaproteobacteria_gi_424771908	12196	1	Gammaproteobacteria_gi_424771908	prophage	prophage
REF:Gammaproteobacteria_gi_419086711	12165	1	Gammaproteobacteria_gi_419086711	prophage	prophage
REF:Gammaproteobacteria_gi_480992267	12085	1	Gammaproteobacteria_gi_480992267	prophage	prophage
REF:Gammaproteobacteria_gi_419056474	12079	1	Gammaproteobacteria_gi_419056474	prophage	prophage
REF:Gammaproteobacteria_gi_419807471	12060	1	Gammaproteobacteria_gi_419807471	prophage	prophage
REF:Gammaproteobacteria_gi_545136832	12015	1	Gammaproteobacteria_gi_545136832	prophage	prophage
REF:Gammaproteobacteria_gi_421823473	11995	1	Gammaproteobacteria_gi_421823473	prophage	prophage
REF:Gammaproteobacteria_gi_545144626	11961	1	Gammaproteobacteria_gi_545144626	prophage	prophage
REF:Gammaproteobacteria_gi_487401429	11960	1	Gammaproteobacteria_gi_487401429	prophage	prophage
REF:Gammaproteobacteria_gi_445006566	11950	1	Gammaproteobacteria_gi_445006566	prophage	prophage
REF:Gammaproteobacteria_gi_545148152	11950	1	Gammaproteobacteria_gi_545148152	prophage	prophage
REF:Gammaproteobacteria_gi_445001135	11943	1	Gammaproteobacteria_gi_445001135	prophage	prophage
REF:Gammaproteobacteria_gi_545147394	11939	1	Gammaproteobacteria_gi_545147394	prophage	prophage
REF:Gammaproteobacteria_gi_419282433	11772	1	Gammaproteobacteria_gi_419282433	prophage	prophage
REF:Gammaproteobacteria_gi_419207571	11737	1	Gammaproteobacteria_gi_419207571	prophage	prophage
REF:Gammaproteobacteria_gi_487398395	11609	1	Gammaproteobacteria_gi_487398395	prophage	prophage
REF:Gammaproteobacteria_gi_419068541	11604	1	Gammaproteobacteria_gi_419068541	prophage	prophage
REF:Gammaproteobacteria_gi_416318398	11590	1	Gammaproteobacteria_gi_416318398	prophage	prophage
REF:Gammaproteobacteria_gi_545142611	11547	1	Gammaproteobacteria_gi_545142611	prophage	prophage
REF:Gammaproteobacteria_gi_545145474	11525	1	Gammaproteobacteria_gi_545145474	prophage	prophage
REF:Gammaproteobacteria_gi_476381791	11512	1	Gammaproteobacteria_gi_476381791	prophage	prophage
REF:Gammaproteobacteria_gi_452700522	11483	1	Gammaproteobacteria_gi_452700522	prophage	prophage
REF:Gammaproteobacteria_gi_487397162	11478	1	Gammaproteobacteria_gi_487397162	prophage	prophage
REF:Gammaproteobacteria_gi_421823452	11441	1	Gammaproteobacteria_gi_421823452	prophage	prophage
REF:Gammaproteobacteria_gi_444979670	11418	1	Gammaproteobacteria_gi_444979670	prophage	prophage
REF:Gammaproteobacteria_gi_486034117	11395	1	Gammaproteobacteria_gi_486034117	prophage	prophage
REF:Gammaproteobacteria_gi_452216270	11388	1	Gammaproteobacteria_gi_452216270	prophage	prophage
REF:Gammaproteobacteria_gi_416814437	11281	1	Gammaproteobacteria_gi_416814437	prophage	prophage
REF:Gammaproteobacteria_gi_417111998	11258	1	Gammaproteobacteria_gi_417111998	prophage	prophage
REF:Gammaproteobacteria_gi_444990268	11235	1	Gammaproteobacteria_gi_444990268	prophage	prophage
REF:Gammaproteobacteria_gi_481022334	11234	1	Gammaproteobacteria_gi_481022334	prophage	prophage
REF:Gammaproteobacteria_gi_424519481	11172	1	Gammaproteobacteria_gi_424519481	prophage	prophage
REF:Gammaproteobacteria_gi_545138652	11104	1	Gammaproteobacteria_gi_545138652	prophage	prophage
3300006859_____Ga0079046_1000392	11037	1	Thermal springs	44.7315	-110.7113
REF:Gammaproteobacteria_gi_545142282	10975	1	Gammaproteobacteria_gi_545142282	prophage	prophage
REF:Gammaproteobacteria_gi_419304173	10937	1	Gammaproteobacteria_gi_419304173	prophage	prophage
REF:Gammaproteobacteria_gi_425143191	10923	1	Gammaproteobacteria_gi_425143191	prophage	prophage
REF:Gammaproteobacteria_gi_419271565	10863	1	Gammaproteobacteria_gi_419271565	prophage	prophage
2100351010_____DHTCA2_contig00786__length_10816___numreads_7879	10816	1	Engineered-other	43.449776	-80.489086
REF:Gammaproteobacteria_gi_430008823	10809	1	Gammaproteobacteria_gi_430008823	prophage	prophage
REF:Gammaproteobacteria_gi_425260218	10766	1	Gammaproteobacteria_gi_425260218	prophage	prophage
REF:Gammaproteobacteria_gi_487392353	10697	1	Gammaproteobacteria_gi_487392353	prophage	prophage
REF:Gammaproteobacteria_gi_476380552-69-10752	10683	1	Gammaproteobacteria_gi_476380552-69-10752	prophage	prophage
REF:Gammaproteobacteria_gi_510912758-66-10749	10683	1	Gammaproteobacteria_gi_510912758-66-10749	prophage	prophage
REF:Gammaproteobacteria_gi_416898115	10674	1	Gammaproteobacteria_gi_416898115	prophage	prophage
REF:Gammaproteobacteria_gi_487681003	10616	1	Gammaproteobacteria_gi_487681003	prophage	prophage
REF:Gammaproteobacteria_gi_487671597	10613	1	Gammaproteobacteria_gi_487671597	prophage	prophage
REF:Gammaproteobacteria_gi_419145561	10576	1	Gammaproteobacteria_gi_419145561	prophage	prophage
REF:Gammaproteobacteria_gi_487597389	10540	1	Gammaproteobacteria_gi_487597389	prophage	prophage
REF:Gammaproteobacteria_gi_485830786	10473	1	Gammaproteobacteria_gi_485830786	prophage	prophage
REF:Gammaproteobacteria_gi_421817742	10446	1	Gammaproteobacteria_gi_421817742	prophage	prophage
REF:Gammaproteobacteria_gi_417600136	10344	1	Gammaproteobacteria_gi_417600136	prophage	prophage
3300005346_____Ga0074242_10639268	10338	1	Non-marine Saline and Alkaline	38.482158	21.313175
REF:Gammaproteobacteria_gi_553962650	10320	1	Gammaproteobacteria_gi_553962650	prophage	prophage
REF:Gammaproteobacteria_gi_419915097	10284	1	Gammaproteobacteria_gi_419915097	prophage	prophage
REF:Gammaproteobacteria_gi_419050851	10258	1	Gammaproteobacteria_gi_419050851	prophage	prophage
REF:Gammaproteobacteria_gi_301306953	10187	1	Gammaproteobacteria_gi_301306953	prophage	prophage
REF:Gammaproteobacteria_gi_422757812	10160	1	Gammaproteobacteria_gi_422757812	prophage	prophage
REF:Gammaproteobacteria_gi_417299555	10024	1	Gammaproteobacteria_gi_417299555	prophage	prophage
REF:Gammaproteobacteria_gi_490098714	10016	1	Gammaproteobacteria_gi_490098714	prophage	prophage
3300011952_____Ga0120709_100502	9914	1	Engineered-subway	40.65	-73.96
3300001676_____TuiMalila_1001027	9763	1	Marine	-21.99002	-176.568744
3300005346_____Ga0074242_10853832	9444	1	Non-marine Saline and Alkaline	38.482158	21.313175
3300002231_____KVRMV2_100117287	9441	1	Marine	36.5	25.45
haib17CEM5106_HCV72CCXY_SL269743_NODE_1413_length_8935_cov_4.49257	8935	1	USA	NA	NA
3300000561_____F21B_10000249	8918	1	Terrestrial-soil	39.100992	-96.608258
2162886013_____SwBSRL2_contig_1372698	8580	1	Terrestrial-soil	42.794771	-84.393804
3300001680_____KiloMoana_10004417	8576	1	Marine	-20.054108	-176.133522
haib17CEM4890_HKC32ALXX_SL254760_NODE_382_length_8296_cov_9.3769	8296	1	Japan	35.6053238	139.6824074
haib17CEM5106_HCVMTCCXY_SL269617_NODE_693_length_8296_cov_18.3578	8296	1	NA	NA	NA
3300005294_____Ga0065705_10105436	8290	1	Terrestrial-soil	42.794771	-84.393804
3300009622_____Ga0105173_1000271	8190	1	Marine	-24.9939	-35.9974
3300001681_____Abe_10003852	7698	1	Marine	-20.111307	-176.989014
haib17CEM4890_H2NYMCCXY_SL254783_NODE_5163_length_7379_cov_22.8073	7379	1	Nigeria	8.1556609	4.7244244
haib17CEM4890_HKC32ALXX_SL254680_NODE_2240_length_7347_cov_72.9977	7347	1	Nigeria	8.4845372	4.5629353
3300011226_____Ga0122842_100583	7325	1	Engineered-subway	40.88	-73.83
REF:Gammaproteobacteria_gi_487385616-3069-10408	7316	1	Gammaproteobacteria_gi_487385616-3069-10408	prophage	prophage
3300001919_____EFB_1013262	7295	1	Host-mammals	53.595256	9.941572
haib17CEM5080_H7VL7CCXY_SL267266_NODE_1362_length_7246_cov_27.6928	7246	1	UK	57.076761	-3.724869
haib17CEM5080_H7VL7CCXY_SL267267_NODE_1254_length_7246_cov_440.873	7246	1	NA	NA	NA
haib17CEM5106_HCCGHCCXY_SL270259_NODE_311_length_7246_cov_31.9022	7246	1	UK	NA	NA
haib17CEM5106_HCCGHCCXY_SL270315_NODE_403_length_7246_cov_17.6017	7246	1	UK	NA	NA
haib17CEM5106_HCCGHCCXY_SL270469_NODE_304_length_7246_cov_40.5711	7246	1	UK	NA	NA
haib17CEM5106_HCCGHCCXY_SL270470_NODE_347_length_7246_cov_21.4698	7246	1	UK	NA	NA
haib17CEM5106_HCCGHCCXY_SL270510_NODE_764_length_7246_cov_1593.12	7246	1	UK	NA	NA
haib17CEM5106_HCCGHCCXY_SL270511_NODE_768_length_7246_cov_1552.6	7246	1	UK	NA	NA
haib17CEM5106_HCV72CCXY_SL269808_NODE_352_length_7246_cov_26.9403	7246	1	NA	NA	NA
haib17CEM5106_HCVMTCCXY_SL269616_NODE_737_length_7246_cov_16.6871	7246	1	NA	NA	NA
haib17CEM5106_HCY5HCCXY_SL270995_NODE_319_length_7246_cov_43.0768	7246	1	UK	NA	NA
haib17CEM5106_HCY5HCCXY_SL270996_NODE_319_length_7246_cov_45.7557	7246	1	UK	NA	NA
haib17CEM5106_HCY5HCCXY_SL271131_NODE_348_length_7246_cov_35.3264	7246	1	UK	NA	NA
haib17CEM5106_HCY5HCCXY_SL271132_NODE_337_length_7246_cov_52.1563	7246	1	UK	NA	NA
haib17DB4959_H3MGVCCXY_SL259929_NODE_328_length_7246_cov_112.754	7246	1	NA	NA	NA
haib17DB4959_H3MGVCCXY_SL259941_NODE_627_length_7246_cov_35.5955	7246	1	NA	NA	NA
haib17DB4959_H3MGVCCXY_SL259963_NODE_273_length_7246_cov_55.7208	7246	1	NA	NA	NA
haib17DB4959_H3MGVCCXY_SL259983_NODE_312_length_7246_cov_65.1204	7246	1	NA	NA	NA
haib18CEM5526_HMGTJCCXY_SL342622_NODE_219_length_7246_cov_87.9071	7246	1	#N/A	#N/A	#N/A
haib18CEM5526_HMGW3CCXY_SL342622_NODE_541_length_7246_cov_89.8589	7246	1	#N/A	#N/A	#N/A
3300011560_____Ga0122267_100421	7157	1	Engineered-subway	40.68	-73.95
haib17CEM5106_HCCGHCCXY_SL270260_NODE_626_length_6932_cov_5.18569	6932	1	UK	NA	NA
3300008491_____Ga0111008_103082	6913	1	Host-human	39.0042816	-77.1012173
3300002231_____KVRMV2_100115078	6685	1	Marine	36.5	25.45
3300005346_____Ga0074242_10086269	6531	1	Non-marine Saline and Alkaline	38.482158	21.313175
3300013958_____Ga0117815_1003984	6476	1	Host-human	0	0
haib17CEM5106_HCY5JCCXY_SL269616_NODE_631_length_6471_cov_24.5937	6471	1	#N/A	#N/A	#N/A
3300003103_____Ga0052260_102065	6341	1	Host-mammals	0	0
haib17CEM5106_HCY5HCCXY_SL271138_NODE_1170_length_6316_cov_15.7721	6316	1	UK	51.44500591	-0.206514155
haib17CEM4890_H2NYMCCXY_SL254771_NODE_3551_length_5969_cov_6.92442	5969	1	Nigeria	8.1549916	4.7264916
3300000443_____F12B_10020751	5912	1	Terrestrial-soil	39.100992	-96.608258
3300004092_____Ga0062389_100012445	5619	1	Freshwater	51.62	-128.09
3300004635_____Ga0062388_100007285	5619	1	Freshwater	51.62	-128.09
3300004092_____Ga0062389_100012681	5578	1	Freshwater	51.62	-128.09
3300004635_____Ga0062388_100007402	5578	1	Freshwater	51.62	-128.09
3300004082_____Ga0062384_100002819	5578	1	Freshwater	51.62	-128.09
3300004082_____Ga0062384_100003040	5446	1	Freshwater	51.62	-128.09
2162886013_____SwBSRL2_contig_13815317	5262	1	Terrestrial-soil	42.794771	-84.393804
2100351010_____DHTCA2_contig00789__length_5213___numreads_3576	5213	1	Engineered-other	43.449776	-80.489086
haib17KIU4866_H7HJMCCXY_SL272784_NODE_588_length_5148_cov_3.68663	5148	1	Nigeria	8.4849993	4.5625102
haib17DB4959_H3MGVCCXY_SL259928_NODE_1143_length_5086_cov_5.00656	5086	1	USA	NA	NA
3300013958_____Ga0117815_1005263	5007	1	Host-human	0	0
REF:Gammaproteobacteria_gi_510915123-365409-452838	87429	2	Gammaproteobacteria_gi_510915123-365409-452838	prophage	prophage
REF:Gammaproteobacteria_gi_510914972-363988-451409	87421	2	Gammaproteobacteria_gi_510914972-363988-451409	prophage	prophage
REF:Gammaproteobacteria_gi_556507984-9435-56298	46863	2	Gammaproteobacteria_gi_556507984-9435-56298	prophage	prophage
REF:Gammaproteobacteria_gi_420347648-57423-95110	37687	2	Gammaproteobacteria_gi_420347648-57423-95110	prophage	prophage
REF:Gammaproteobacteria_gi_545245029-34740-72374	37634	2	Gammaproteobacteria_gi_545245029-34740-72374	prophage	prophage
REF:Gammaproteobacteria_gi_487654485-158586-194956	36370	2	Gammaproteobacteria_gi_487654485-158586-194956	prophage	prophage
REF:Gammaproteobacteria_gi_476380486-863746-899990	36244	2	Gammaproteobacteria_gi_476380486-863746-899990	prophage	prophage
REF:Gammaproteobacteria_gi_556198190-3589071-3625312	36241	2	Gammaproteobacteria_gi_556198190-3589071-3625312	prophage	prophage
REF:Gammaproteobacteria_gi_510898081-189914-225858	35944	2	Gammaproteobacteria_gi_510898081-189914-225858	prophage	prophage
REF:Gammaproteobacteria_gi_545246805-1018983-1054927	35944	2	Gammaproteobacteria_gi_545246805-1018983-1054927	prophage	prophage
REF:Gammaproteobacteria_gi_419917972-15063-50220	35157	2	Gammaproteobacteria_gi_419917972-15063-50220	prophage	prophage
REF:Gammaproteobacteria_gi_556605173-14155-49312	35157	2	Gammaproteobacteria_gi_556605173-14155-49312	prophage	prophage
REF:Gammaproteobacteria_gi_476381394-164551-199692	35141	2	Gammaproteobacteria_gi_476381394-164551-199692	prophage	prophage
REF:Gammaproteobacteria_gi_556198190-371431-406291	34860	2	Gammaproteobacteria_gi_556198190-371431-406291	prophage	prophage
REF:Gammaproteobacteria_gi_545297982-215006-249532	34526	2	Gammaproteobacteria_gi_545297982-215006-249532	prophage	prophage
REF:Gammaproteobacteria_gi_117622295-919777-954157	34380	2	Gammaproteobacteria_gi_117622295-919777-954157	prophage	prophage
REF:Gammaproteobacteria_gi_452742835-4131361-4165668	34307	2	Gammaproteobacteria_gi_452742835-4131361-4165668	prophage	prophage
REF:Gammaproteobacteria_gi_487642454-64356-98623	34267	2	Gammaproteobacteria_gi_487642454-64356-98623	prophage	prophage
REF:Gammaproteobacteria_gi_545162437-210890-245154	34264	2	Gammaproteobacteria_gi_545162437-210890-245154	prophage	prophage
REF:Gammaproteobacteria_gi_545240590-42841-76932	34091	2	Gammaproteobacteria_gi_545240590-42841-76932	prophage	prophage
REF:Gammaproteobacteria_gi_487601120-67028-101054	34026	2	Gammaproteobacteria_gi_487601120-67028-101054	prophage	prophage
REF:Gammaproteobacteria_gi_416277457-82733-116704	33971	2	Gammaproteobacteria_gi_416277457-82733-116704	prophage	prophage
REF:Gammaproteobacteria_gi_545162841-429094-462988	33894	2	Gammaproteobacteria_gi_545162841-429094-462988	prophage	prophage
REF:Gammaproteobacteria_gi_301051501-73326-107085	33759	2	Gammaproteobacteria_gi_301051501-73326-107085	prophage	prophage
REF:Gammaproteobacteria_gi_545242698-2172511-2206234	33723	2	Gammaproteobacteria_gi_545242698-2172511-2206234	prophage	prophage
REF:Gammaproteobacteria_gi_433203654-14008-47680	33672	2	Gammaproteobacteria_gi_433203654-14008-47680	prophage	prophage
REF:Gammaproteobacteria_gi_476380788-1695896-1729568	33672	2	Gammaproteobacteria_gi_476380788-1695896-1729568	prophage	prophage
REF:Gammaproteobacteria_gi_476381429-2863333-2897005	33672	2	Gammaproteobacteria_gi_476381429-2863333-2897005	prophage	prophage
REF:Gammaproteobacteria_gi_485875580-60166-93810	33644	2	Gammaproteobacteria_gi_485875580-60166-93810	prophage	prophage
REF:2595698390_____2595727372	33628	2	Enterobacteria phage fiAA91-ss	REF	REF
REF:638276002_____638275750	33593	2	Escherichia virus P2	REF	REF
REF:Gammaproteobacteria_gi_476380646-1483009-1516509	33500	2	Gammaproteobacteria_gi_476380646-1483009-1516509	prophage	prophage
REF:Gammaproteobacteria_gi_486209561-91766-125240	33474	2	Gammaproteobacteria_gi_486209561-91766-125240	prophage	prophage
REF:Gammaproteobacteria_gi_545278647-1964623-1998074	33451	2	Gammaproteobacteria_gi_545278647-1964623-1998074	prophage	prophage
REF:Gammaproteobacteria_gi_417310429-49152-82582	33430	2	Gammaproteobacteria_gi_417310429-49152-82582	prophage	prophage
REF:Gammaproteobacteria_gi_545296339-34100-67451	33351	2	Gammaproteobacteria_gi_545296339-34100-67451	prophage	prophage
REF:Gammaproteobacteria_gi_545230987-392289-425608	33319	2	Gammaproteobacteria_gi_545230987-392289-425608	prophage	prophage
REF:Gammaproteobacteria_gi_556623687-42581-75884	33303	2	Gammaproteobacteria_gi_556623687-42581-75884	prophage	prophage
REF:Gammaproteobacteria_gi_433122542-11960-45241	33281	2	Gammaproteobacteria_gi_433122542-11960-45241	prophage	prophage
REF:Gammaproteobacteria_gi_510917846-2895978-2929259	33281	2	Gammaproteobacteria_gi_510917846-2895978-2929259	prophage	prophage
REF:Gammaproteobacteria_gi_510912629-721382-754649	33267	2	Gammaproteobacteria_gi_510912629-721382-754649	prophage	prophage
REF:Gammaproteobacteria_gi_476381469-4199994-4233224	33230	2	Gammaproteobacteria_gi_476381469-4199994-4233224	prophage	prophage
REF:Gammaproteobacteria_gi_476381339-2059490-2092698	33208	2	Gammaproteobacteria_gi_476381339-2059490-2092698	prophage	prophage
REF:Gammaproteobacteria_gi_433070238-42842-76009	33167	2	Gammaproteobacteria_gi_433070238-42842-76009	prophage	prophage
REF:Gammaproteobacteria_gi_476380735-161521-194688	33167	2	Gammaproteobacteria_gi_476380735-161521-194688	prophage	prophage
REF:Gammaproteobacteria_gi_510927129-160967-194134	33167	2	Gammaproteobacteria_gi_510927129-160967-194134	prophage	prophage
REF:Gammaproteobacteria_gi_545232788-67127-100294	33167	2	Gammaproteobacteria_gi_545232788-67127-100294	prophage	prophage
REF:Gammaproteobacteria_gi_452703622-11893-45053	33160	2	Gammaproteobacteria_gi_452703622-11893-45053	prophage	prophage
REF:Gammaproteobacteria_gi_422784853-1906172-1939287	33115	2	Gammaproteobacteria_gi_422784853-1906172-1939287	prophage	prophage
REF:Gammaproteobacteria_gi_545172109-394464-427548	33084	2	Gammaproteobacteria_gi_545172109-394464-427548	prophage	prophage
REF:Gammaproteobacteria_gi_556529909-65058-98141	33083	2	Gammaproteobacteria_gi_556529909-65058-98141	prophage	prophage
REF:Gammaproteobacteria_gi_476380991-73071-106132	33061	2	Gammaproteobacteria_gi_476380991-73071-106132	prophage	prophage
REF:Gammaproteobacteria_gi_545283408-720211-753272	33061	2	Gammaproteobacteria_gi_545283408-720211-753272	prophage	prophage
REF:Gammaproteobacteria_gi_440768409-48910-81962	33052	2	Gammaproteobacteria_gi_440768409-48910-81962	prophage	prophage
REF:Gammaproteobacteria_gi_170679574-4408908-4441946	33038	2	Gammaproteobacteria_gi_170679574-4408908-4441946	prophage	prophage
REF:Gammaproteobacteria_gi_510922400-111271-144309	33038	2	Gammaproteobacteria_gi_510922400-111271-144309	prophage	prophage
REF:Gammaproteobacteria_gi_556511720-71773-104795	33022	2	Gammaproteobacteria_gi_556511720-71773-104795	prophage	prophage
REF:Gammaproteobacteria_gi_545159413-708727-741737	33010	2	Gammaproteobacteria_gi_545159413-708727-741737	prophage	prophage
REF:Gammaproteobacteria_gi_545234068-248629-281639	33010	2	Gammaproteobacteria_gi_545234068-248629-281639	prophage	prophage
REF:Gammaproteobacteria_gi_386597751-965582-998589	33007	2	Gammaproteobacteria_gi_386597751-965582-998589	prophage	prophage
REF:Gammaproteobacteria_gi_419388684-11897-44835	32938	2	Gammaproteobacteria_gi_419388684-11897-44835	prophage	prophage
REF:Gammaproteobacteria_gi_419280258-21899-54835	32936	2	Gammaproteobacteria_gi_419280258-21899-54835	prophage	prophage
REF:Gammaproteobacteria_gi_419378004-47643-80578	32935	2	Gammaproteobacteria_gi_419378004-47643-80578	prophage	prophage
REF:Gammaproteobacteria_gi_422958368-573227-606137	32910	2	Gammaproteobacteria_gi_422958368-573227-606137	prophage	prophage
REF:Gammaproteobacteria_gi_487671041-728719-761629	32910	2	Gammaproteobacteria_gi_487671041-728719-761629	prophage	prophage
REF:Gammaproteobacteria_gi_553961529-23341-56210	32869	2	Gammaproteobacteria_gi_553961529-23341-56210	prophage	prophage
REF:Gammaproteobacteria_gi_476380775-2664277-2697137	32860	2	Gammaproteobacteria_gi_476380775-2664277-2697137	prophage	prophage
REF:Gammaproteobacteria_gi_406351895-60302-93133	32831	2	Gammaproteobacteria_gi_406351895-60302-93133	prophage	prophage
REF:Gammaproteobacteria_gi_419352091-69898-102687	32789	2	Gammaproteobacteria_gi_419352091-69898-102687	prophage	prophage
REF:Gammaproteobacteria_gi_419357567-68047-100836	32789	2	Gammaproteobacteria_gi_419357567-68047-100836	prophage	prophage
REF:Gammaproteobacteria_gi_419362537-68777-101566	32789	2	Gammaproteobacteria_gi_419362537-68777-101566	prophage	prophage
REF:Gammaproteobacteria_gi_545233144-2323045-2355829	32784	2	Gammaproteobacteria_gi_545233144-2323045-2355829	prophage	prophage
REF:Gammaproteobacteria_gi_422748737-632908-665688	32780	2	Gammaproteobacteria_gi_422748737-632908-665688	prophage	prophage
REF:Gammaproteobacteria_gi_433163862-70753-103533	32780	2	Gammaproteobacteria_gi_433163862-70753-103533	prophage	prophage
REF:Gammaproteobacteria_gi_476381580-880826-913606	32780	2	Gammaproteobacteria_gi_476381580-880826-913606	prophage	prophage
REF:Gammaproteobacteria_gi_510913878-110206-142986	32780	2	Gammaproteobacteria_gi_510913878-110206-142986	prophage	prophage
REF:Gammaproteobacteria_gi_545170337-1678655-1711435	32780	2	Gammaproteobacteria_gi_545170337-1678655-1711435	prophage	prophage
REF:Gammaproteobacteria_gi_545173784-2017695-2050475	32780	2	Gammaproteobacteria_gi_545173784-2017695-2050475	prophage	prophage
REF:Gammaproteobacteria_gi_545239369-2245341-2278121	32780	2	Gammaproteobacteria_gi_545239369-2245341-2278121	prophage	prophage
REF:Gammaproteobacteria_gi_545245219-1001364-1034144	32780	2	Gammaproteobacteria_gi_545245219-1001364-1034144	prophage	prophage
REF:Gammaproteobacteria_gi_545294044-1102442-1135222	32780	2	Gammaproteobacteria_gi_545294044-1102442-1135222	prophage	prophage
REF:Gammaproteobacteria_gi_545244957-1955861-1988640	32779	2	Gammaproteobacteria_gi_545244957-1955861-1988640	prophage	prophage
REF:Gammaproteobacteria_gi_545263222-67971-100740	32769	2	Gammaproteobacteria_gi_545263222-67971-100740	prophage	prophage
REF:Gammaproteobacteria_gi_474562890-41568-74334	32766	2	Gammaproteobacteria_gi_474562890-41568-74334	prophage	prophage
REF:Gammaproteobacteria_gi_556926918-11865-44628	32763	2	Gammaproteobacteria_gi_556926918-11865-44628	prophage	prophage
REF:Gammaproteobacteria_gi_433075212-11925-44687	32762	2	Gammaproteobacteria_gi_433075212-11925-44687	prophage	prophage
REF:Gammaproteobacteria_gi_476380742-193570-226332	32762	2	Gammaproteobacteria_gi_476380742-193570-226332	prophage	prophage
REF:Gammaproteobacteria_gi_476382231-11961-44723	32762	2	Gammaproteobacteria_gi_476382231-11961-44723	prophage	prophage
REF:Gammaproteobacteria_gi_510916074-69742-102504	32762	2	Gammaproteobacteria_gi_510916074-69742-102504	prophage	prophage
